查庄	1	1	657983	687845	331.297552139
双台子区	12	124	119067	1226627	10.9587378443
东由留	1	1	657983	687845	331.297552139
潭坊	6	6	657978	687840	1987.80008292
乡岭庄	1	1	657983	687845	331.297552139
高家岭	1	25	58523	1287281	883.187540282
炮楼	1	1	657983	687845	331.297552139
后楼	5	5	657979	687841	1656.49760741
坝镇七堡	1	1	657983	687845	331.297552139
庞各庄	5	48	119074	1226703	2449.21383593
大井	15	16	657969	687830	1057.59652974
镇区	3	33	119076	1226718	1283.3691345
大事	1	1	657983	687845	331.297552139
镇卜	1	1	657983	687845	331.297552139
库鲁	1	11	119078	1226740	427.782082718
外商	3	70	58521	1287236	561.004175712
镇厂	1	12	119078	1226739	2336.79197835
镇压	1	1	657983	687845	331.297552139
江马陵	1	1	657983	687845	331.297552139
镇厦	1	1	657983	687845	331.297552139
大乾	1	1	657983	687845	331.297552139
后湾	1	10	119078	1226741	87.3542782229
大乐	6	22	297685	1048117	1799.02009105
多种	2	40	58522	1287266	965.857516085
大侯	1	1	657983	687845	331.297552139
墓	1	18	58523	1287288	2139.07598725
三十一	3	3	657981	687843	993.895610422
大伯	1	5	212551	1133273	615.82945021
群德乡	1	9	119078	1226742	1786.0784949
三十二	1	6	212551	1133272	2141.40419824
进会	1	1	657983	687845	331.297552139
三十五	2	11	212550	1133267	292.332478853
大余	1	12	119078	1226739	2336.79197835
医政药政	1	1	657983	687845	331.297552139
外埔	1	1	657983	687845	331.297552139
后河	5	55	119074	1226696	2138.98670278
方远	1	1	657983	687845	331.297552139
镇福德桥	1	1	657983	687845	331.297552139
渡普镇	1	18	58523	1287288	2139.07598725
太力	1	1	657983	687845	331.297552139
沛林	1	1	657983	687845	331.297552139
镇册	1	1	657983	687845	331.297552139
凯亭	1	1	657983	687845	331.297552139
照川区	1	1	657983	687845	331.297552139
后池	1	1	657983	687845	331.297552139
曰	1	25	58523	1287281	883.187540282
黎少	1	11	119078	1226740	427.782082718
高家堰	4	44	119075	1226707	1711.17410398
非典型	1	1	657983	687845	331.297552139
镇河心	1	1	657983	687845	331.297552139
潭口	4	4	657980	687842	1325.19611657
凯信	1	6	212551	1133272	2141.40419824
岗市	1	1	657983	687845	331.297552139
镇伏	4	4	657980	687842	1325.19611657
平定	60	62	657924	687784	1378.639065
陇东	2	22	119077	1226729	855.571794152
八集	2	7	297689	1048132	12.7785262676
坚	1	6	212551	1133272	2141.40419824
蒙阳镇	1	10	119078	1226741	87.3542782229
乡新张	1	1	657983	687845	331.297552139
八队	1	9	119078	1226742	1786.0784949
治金	1	1	657983	687845	331.297552139
鸿强	1	1	657983	687845	331.297552139
吴越	4	14	297687	1048125	25.5572234458
泽潭	1	1	657983	687845	331.297552139
二联	4	4	657980	687842	1325.19611657
长寿县	44	459	119035	1226292	683.752803246
唐克乡	1	1	657983	687845	331.297552139
沟溪乡	1	1	657983	687845	331.297552139
大厂	5	50	119074	1226701	436.785671318
镇乔	4	4	657980	687842	1325.19611657
大古	1	1	657983	687845	331.297552139
鸿庆	2	2	657982	687844	662.596088945
镇五	5	17	297686	1048122	1093.67494215
镇五	2	20	119077	1226731	174.709984431
镇云	4	4	657980	687842	1325.19611657
贤友	1	1	657983	687845	331.297552139
乡新市	2	2	657982	687844	662.596088945
镇亮	1	11	119078	1226740	427.782082718
百汇	1	22	58523	1287284	0.001592191606
零点	2	41	58522	1287265	529.988433395
韩庄乡	3	3	657981	687843	993.895610422
龚陈	1	1	657983	687845	331.297552139
果子沟	2	2	657982	687844	662.596088945
八钢	1	1	657983	687845	331.297552139
周坪村	1	1	657983	687845	331.297552139
岗尾	1	1	657983	687845	331.297552139
栽松	1	1	657983	687845	331.297552139
周全	1	5	212551	1133273	615.82945021
俞家桥	1	1	657983	687845	331.297552139
乡新川	2	2	657982	687844	662.596088945
那音克乡	3	3	657981	687843	993.895610422
乡燕联	1	1	657983	687845	331.297552139
田中	5	5	657979	687841	1656.49760741
田中	1	9	119078	1226742	1786.0784949
周冲	1	1	657983	687845	331.297552139
东陵区	8	28	297683	1048111	51.1151305475
博锐	1	10	119078	1226741	87.3542782229
泽海	1	1	657983	687845	331.297552139
篆	1	19	58523	1287287	1142.34633789
镇樟村	4	4	657980	687842	1325.19611657
后灵	1	1	657983	687845	331.297552139
汀田镇	1	1	657983	687845	331.297552139
大册	1	1	657983	687845	331.297552139
大冈	1	9	119078	1226742	1786.0784949
施家桥	1	1	657983	687845	331.297552139
汇杰	4	4	657980	687842	1325.19611657
百源	1	6	212551	1133272	2141.40419824
扶	27	97	297664	1048042	1990.15168028
芝麻	4	41	119075	1226710	10.1271785612
后燕	1	1	657983	687845	331.297552139
施家梁	1	1	657983	687845	331.297552139
中五井	1	1	657983	687845	331.297552139
大兴	141	496	297550	1047643	20.6007996196
周场	1	1	657983	687845	331.297552139
马田镇	1	1	657983	687845	331.297552139
大围	3	10	297688	1048129	1603.74959248
汇恒	1	5	212551	1133273	615.82945021
蔡岗村	2	2	657982	687844	662.596088945
南坊	2	19	119077	1226732	1290.82854009
大团	19	20	657965	687826	156.412583437
大四	4	4	657980	687842	1325.19611657
鸿宇	4	14	297687	1048125	25.5572234458
百楼	2	2	657982	687844	662.596088945
南岔区	11	40	297680	1048099	2083.02604824
凯哥	1	1	657983	687845	331.297552139
埠子	1	12	119078	1226739	2336.79197835
巴中市	116	1209	118963	1225542	1553.14671874
胥山	1	1	657983	687845	331.297552139
大垛	1	6	212551	1133272	2141.40419824
翟岗	1	1	657983	687845	331.297552139
大埔	7	69	119072	1226682	1344.35582733
大城	6	32	212546	1133246	0.0779039601334
喀	7	75	119072	1226676	1070.28785065
群众体育	2	2	657982	687844	662.596088945
大圣	2	20	119077	1226731	174.709984431
